Mã_Tin,Thời_Gian_Đăng,Thành_Phố,Quận_Huyện,Giá_Cho_Thuê,Diện_Tích_m2,Tiêu_Đề,Mô_Tả,Nổi_Bật
677825,"Thứ 6, 11:42 23/01/2026",Đà Nẵng,Hải Châu,3.8,25.0,"Cho thuê phòng 25m2 đầy đủ tiện nghi gần Đường 30/4, Quảng trường 2/9","Cho thuê phòng full option. 129 Nguyễn Khánh Toàn (Gần góc Phan Đăng Lưu vs Lương Nhữ Hộc) Phòng đầy đủ tiện nghi giá từ: 3.8 triệu/th. Gảm giá 5% trả 03 tháng/ lần DT: 25m², phòng thoáng mát, an ninh. Gác gỗ đẹp rộng rãi. Địa chỉ: Mặt tiền 129 Nguyễn Khánh Toàn. Ngay trung tâm Quận Hải Châu Đà Nẵng, chỉ mất vài phút đi bộ là đến Quảng Trường thời đại Đường 2/9, Khu vui chơi giải trí Sun Group, Cầu rồng, Cầu sông Hàn, Biển Mỹ khê…. Tiện ích: - Phòng đầy đủ tiện nghi: Bàn gỗ ghế da, tủ áo quần gỗ, nệm, chăn, gối, điều hoà , tủ lạnh, quạt hút, Tủ bếp... bằng gỗ sồi rất đẹp. Điện 4.0k/kw , nước 50k/nguoi . wifi miễn phí. Ngoài ra không thu thêm bất cứ khoản phí nào. - Thang máy Fuji nhập khẩu êm ái - Cửa gỗ rất đẹp, khóa vân tay+ thẻ từ+Số pass - Phòng có cửa sổ thoáng, sân thượng rộng để phơi đồ, cửa lưới chống muỗi. - Có bếp từ và tủ lạnh. - Phòng vệ sinh dạng VIP đầy đủ, có nước nóng lạnh. - Máy giặt chung sân thượng, hoặc giặt dịch vụ Tầng 1 - giảm giá cho nguoi ở tại nhà... - Thang máy êm, bảo vệ+ xếp xe 24/24, chỗ để xe rộng Liên hệ : Mr Đăng: 0905313100, MS Quyên: 0915857220","Đầy đủ nội thất, Có gác, Có kệ bếp, Có máy lạnh, Có máy giặt, Có tủ lạnh, Có thang máy, Không chung chủ, Giờ giấc tự do, Có bảo vệ 24/24, Có hầm để xe"
701115,"Thứ 5, 13:53 22/01/2026",Đà Nẵng,Hải Châu,4.0,23.0,"Trung tâm, gần ĐH Kiến Trúc, ĐH ĐÔNG Á, ĐH Ngoại Ngữ","CHO THUÊ PHÒNG TRỌ MỚI – TIỆN NGHI – VỊ TRÍ ĐẸP Địa chỉ: 386/19 Núi Thành Liên hệ: 0902 113 867 Thông tin phòng: Diện tích: 15m², có gác lửng ⇒ ở thoải mái 2–3 người Phòng mới, sạch sẽ, thoáng mát Đầy đủ tiện nghi: Máy lạnh ️ Nước nóng – lạnh Bếp điện mini WC riêng từng phòng Máy giặt dùng chung từng tầng Wifi free Nước (có đồng hồ riêng) Điện (có đồng riêng) Khu vực tiện lợi: Gần các trường đại học, cao đẳng Gần chợ, siêu thị, cửa hàng tiện lợi Khu dân cư an ninh – yên tĩnh Thuận tiện đi lại, học tập và làm việc Giá thuê: 4.000.000đ/tháng Ưu đãi: Giảm giá khi thanh toán trước từ 3 – 6 tháng","Đầy đủ nội thất, Có gác, Có kệ bếp, Có máy lạnh, Có máy giặt, Có tủ lạnh, Có thang máy, Không chung chủ, Giờ giấc tự do, Có bảo vệ 24/24, Có hầm để xe"
701109,"Thứ 5, 11:28 22/01/2026",Đà Nẵng,Thanh Khê,2.0,35.0,"CHO THUÊ PHÒNG TRỌ ĐẦY ĐỦ TIỆN NGHI – RỘNG RÃI, THOÁNG MÁT – CHỈ CHO NỮ THUÊ","CHO THUÊ PHÒNG TRỌ ĐẦY ĐỦ TIỆN NGHI – RỘNG RÃI, THOÁNG MÁT – CHỈ CHO NỮ THUÊ * Địa chỉ: K249/100/4 Hà Huy Tập, Phường An Khê, Quận Thanh Khê, Đà Nẵng Giá thuê: 2 triệu/tháng * Diện tích sử dụng: 25m² (bao gồm phòng chính 20m² + gác lửng 15m²) Tiện nghi & mô tả: - Phòng rộng rãi, thoáng mát - Có toilet riêng, bếp riêng - Gác lửng rộng 15m², có thể dùng làm phòng ngủ hoặc để đồ - Mỗi phòng đều riêng biệt, đảm bảo riêng tư - Khu vực an ninh, yên tĩnh, vị trí thuận tiện di chuyển LIÊN HỆ TRỰC TIẾP SĐT : 0983 891 602 ( Call / Zalo ).","Đầy đủ nội thất, Có gác, Có kệ bếp, Có máy lạnh, Có máy giặt, Có tủ lạnh, Có thang máy, Không chung chủ, Giờ giấc tự do, Có bảo vệ 24/24, Có hầm để xe"
670875,"Thứ 6, 15:24 16/01/2026",Đà Nẵng,Thanh Khê,2.0,15.0,"Cho thuê phòng trọ đường Trần Cao Vân, phường Xuân Hà, Thanh Khê, Đà Nẵng","Nhà trọ tại trung tâm thành phố, có phỏng để xe máy, bếp, sân phơi,... không gian thoáng mát, an ninh, yên tĩnh, không chung chủ, giờ giấc thoải mái,...... gần đường chính, gần chợ (các chợ Lầu Đèn, Tam Tòa), trường học, bệnh viện,... Địa chỉ: K368/01 Trần Cao Vân, P. Xuân Hà, Q. Thanh Khê, TP. Đà Nẵng. Liên hệ: 0914.015609 - Chú Sơn.","Đầy đủ nội thất, Có gác, Có kệ bếp, Có máy lạnh, Có máy giặt, Có tủ lạnh, Có thang máy, Không chung chủ, Giờ giấc tự do, Có bảo vệ 24/24, Có hầm để xe"
686489,"Thứ 4, 08:32 14/01/2026",Đà Nẵng,Cẩm Lệ,1.0,22.0,"Cho thuê phòng trọ Đường Nguyễn Như Đãi, tổ 21 ,Phường Cẩm Lệ, TP Đà Nẵng.","Cho thuê phòng trọ Đường Nguyễn Như Đãi, tổ 21, Phường Cẩm Lệ, TP Đà Nẵng. Phòng rộng 22m2, có gác lửng Wc riêng, bếp , chỗ rửa chén khu vực thoáng mát, an ninh tốt , gần khu công nghiệp Hòa Cầm. Liên hệ trực tiếp: A Bắc. ĐT 0913466893","Đầy đủ nội thất, Có gác, Có kệ bếp, Có máy lạnh, Có máy giặt, Có tủ lạnh, Có thang máy, Không chung chủ, Giờ giấc tự do, Có bảo vệ 24/24, Có hầm để xe"
700545,"Chủ Nhật, 19:59 11/01/2026",Đà Nẵng,Liên Chiểu,2.2,18.0,"CHO THUÊ PHÒNG TRỌ MỚI XÂY PHƯỜNG LIÊN CHIỂU, TP ĐÀ NẴNG","Phòng trọ có điều hoà, máy nước nóng, có bãi để xe phòng mới xây Ngay ngã ba Hồng Phước 3 với Tự Đức Đ/C: Đường Hồng Phước 3, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng Giá: 2tr2","Đầy đủ nội thất, Có gác, Có kệ bếp, Có máy lạnh, Có máy giặt, Có tủ lạnh, Có thang máy, Không chung chủ, Giờ giấc tự do, Có bảo vệ 24/24, Có hầm để xe"
700527,"Chủ Nhật, 09:04 11/01/2026",Đà Nẵng,Ngũ Hành Sơn,2.2,27.0,"Phòng trọ giá rẻ, thoáng mát tại Ngũ Hành Sơn - Đà Nẵng","- Vị trí: Nằm trong khu dân cư đông đúc, nhiều tiện ích: gần trường học, khu vui chơi, siêu thị, chợ, bvien, .... - Phòng rộng rãi tầng trệt, có gác lửng, bếp, mê đúc, thoáng mát, sạch sẽ, an ninh, yên tĩnh,... - Giờ giấc tự do, không chung chủ - Chỉ cho nữ (đi làm) hoặc vợ chồng trẻ (hợp pháp) thuê - Điện 3,5k/Kwh, nước 7k/m3, wifi miễn phí - Liên hệ sdt để xem phòng trực tiếp",
700408,"Thứ 6, 12:54 09/01/2026",Đà Nẵng,Cẩm Lệ,2.5,30.0,"Cho thuê phòng trọ khu Hoà Xuân, đường Bùi Công Trừng, Đà Nẵng","Phòng trọ thoáng mát, sạch sẽ. Khu dân cư an ninh. Chủ chỉ có 1 phòng duy nhất riêng biệt, thoải mái. Có lối đi riêng. Giá 2,500,000 Liên hệ 0907819656 hoặc 0932475616","Đầy đủ nội thất, Có gác, Có kệ bếp, Có máy lạnh, Có máy giặt, Có tủ lạnh, Có thang máy, Không chung chủ, Giờ giấc tự do, Có bảo vệ 24/24, Có hầm để xe"
700344,"Thứ 5, 12:26 08/01/2026",Đà Nẵng,Hải Châu,3.0,20.0,Cho thuê phòng tầng 3 trong nhà nguyên căn,"Cho thuê phòng tầng 3 nhà nguyên căn trong hẻm đường Lê Đình Dương. Giá 3tr ở được 2 người. Có bếp với nhà vệ sinh riêng. Tầm ngày 18 có thể chuyển vào. Ưu tiên các bạn làm sự kiện, dancer, nightlife. LGBT hoặc là nữ ạ. LH zalo: 0843096408￼","Đầy đủ nội thất, Có gác, Có kệ bếp, Có máy lạnh, Có máy giặt, Có tủ lạnh, Có thang máy, Không chung chủ, Giờ giấc tự do, Có bảo vệ 24/24, Có hầm để xe"
700263,"Thứ 4, 13:58 07/01/2026",Đà Nẵng,Cẩm Lệ,3.5,26.0,PHÒNG MỚI 100% KHU HOÀ XUÂN - 510 MAI CHI THỌ,"CĂN HỘ MỚI 100% KHU HOÀ XUÂN -510 MAI CHI THỌ GIÁ THUÊ: 3.5 TRIỆU Vị trí : Ngay sân vận động Hòa Xuân - Gần chợ Hòa Xuân , trường TH TRần Đại Nghĩa , Trường ĐH Ngoại Ngữ, ĐH Kiến Trúc , ĐH Đông Á - gồm Điều hòa , nước nóng, Wifi miễn phí , giường ngủ ,tủ quần áo , máy giặt , sân phơi - nhà để xe rộng , khu vự an ninh , không ngập nước - không chung chủ giờ giấc thoải mái ...... - Điện 3.500kw, nước 50.000, phi dich vu 50.000/ ng - Phòng mới 100% , view thoáng cửa sổ rộng , căn nhà nằm ở vị trí hai mặt tiền đường Mai Chí Thọ. - Thanh toán linh hoạt. Zalo chính chủ : 0905.431.301",
700174,"Thứ 2, 22:33 05/01/2026",Đà Nẵng,Hải Châu,2.8,20.0,Cho thuê phòng trọ phường Hoà Cường (phường Hoà Thuận Tây cũ),"Cho thuê phòng phường Hoà Cường (Hoà Thuận Tây cũ) 40/18 Nguyễn Hữu Thọ Nhà còn một phòng trống tầng 3, có ban công nhỏ Rộng 20m2, thoáng mát; khu dân cư đông đúc; an ninh, ở tại 40/18 Nguyễn Hữu Thọ, trung tâm thành phố gần sân bay, chợ, bệnh viện, các trường học… - Đầy đủ máy lạnh, máy nước nóng lạnh. - Không gian thoáng, không chung chủ. - Khu vực an ninh tốt. - Không ngập lụt dột gì hết Tuy nằm trong kiệt nhưng đường xá rộng đậu xe ok ạ Giá 2 triệu 8 ạ Liên hệ: Inbox hoặc gọi 0905276349 hoac cô Hằng (093 4956272) để xem nhà ạ!","Đầy đủ nội thất, Có gác, Có kệ bếp, Có máy lạnh, Có máy giặt, Có tủ lạnh, Có thang máy, Không chung chủ, Giờ giấc tự do, Có bảo vệ 24/24, Có hầm để xe"
609224,"Thứ 7, 14:13 03/01/2026",Đà Nẵng,Hải Châu,3.0,20.0,Cho thuê phòng tầng 3 gần sân bay ĐN đường Nguyễn Hữu Thọ,"Nhà còn một phòng trống tầng 3, có ban công nhỏ Rộng 20m2, thoáng mát; khu dân cư đông đúc; an ninh, ở tại 40/18 Nguyễn Hữu Thọ, trung tâm thành phố gần sân bay, chợ, bệnh viện, các trường học… - Đầy đủ máy lạnh, máy nước nóng lạnh. - Không gian thoáng, không chung chủ. - Khu vực an ninh tốt. - Không ngập lụt dột gì hết Tuy nằm trong kiệt nhưng đường xá rộng đậu xe ok ạ Giá 3 triệu ạ Liên hệ: Inbox hoặc gọi 0905276349 hoac cô Hằng (093 4956272) để xem nhà ạ!","Đầy đủ nội thất, Có gác, Có kệ bếp, Có máy lạnh, Có máy giặt, Có tủ lạnh, Có thang máy, Không chung chủ, Giờ giấc tự do, Có bảo vệ 24/24, Có hầm để xe"
699604,"Thứ 6, 12:30 26/12/2025",Đà Nẵng,Cẩm Lệ,4.0,36.0,"Cho thuê nhà trọ tại đường Huỳnh Ngọc Đủ, phường Hòa Xuân, thành phố Đà Nẵng, nhà 36m2 và nhà 50m2","Diện tích nhà 36m2 và nhà 50m2, đầy đủ hệ thống điện, nước, bếp, wc và 01 phòng ngủ, phù hợp với gia đình nhỏ. Giá cho thuê nhà 36m2 là 3,5 triệu, nhà 50m2 là 4 triệu (tiền điện, nước do bên thuê tự trả theo giá nhà nước). Liên hệ chủ nhà. 0935726006, 0935541026.","Đầy đủ nội thất, Có gác, Có kệ bếp, Có máy lạnh, Có máy giặt, Có tủ lạnh, Có thang máy, Không chung chủ, Giờ giấc tự do, Có bảo vệ 24/24, Có hầm để xe"
699387,"Thứ 3, 08:29 23/12/2025",Đà Nẵng,Sơn Trà,4.5,40.0,PHÒNG TRỌ CAO CẤP NGAY VINCOM - FULL NỘI THẤT CHỈ CẦN DỌN VALI VÀO Ờ,"Cho thuê căn hộ rộng 40 m2 Full nội thất máy giặt, tủ lạnh, bếp,..., đầy đủ tiện nghi Giá 4.500.000đ/1 tháng Điện 4k/1 chữ, nước 40k/1 người Ưu tiên ở 1 mình, giờ giấc ra vào thoải mái Gọi ngay 0905874368","Đầy đủ nội thất, Có gác, Có kệ bếp, Có máy lạnh, Có máy giặt, Có tủ lạnh, Có thang máy, Không chung chủ, Giờ giấc tự do, Có bảo vệ 24/24, Có hầm để xe"
698860,"Thứ 2, 15:36 15/12/2025",Đà Nẵng,Ngũ Hành Sơn,3.0,27.0,PHÒNG MẶT TIỀN NHÀ MỚI XÂY CẦN CHO THUÊ,"Phòng mặt tiền đường kiệt 7m5 rộng rãi, thông thoáng, cần cho thuê. Diện tích sử dụng 27m2 Phù hợp với người đi làm, gia đình nhỏ, sinh viên. Tiện ích xung quanh đầy đủ, gần sông, gần biển… Địa chỉ: K420/54 Lê Văn Hiến - Ngũ Hành Sơn Liên hệ: ĐT/zalo: 0942177977 - A Sĩ","Đầy đủ nội thất, Có gác, Có kệ bếp, Có máy lạnh, Có máy giặt, Có tủ lạnh, Có thang máy, Không chung chủ, Giờ giấc tự do, Có bảo vệ 24/24, Có hầm để xe"
698833,"Thứ 2, 11:20 15/12/2025",Đà Nẵng,Thanh Khê,3.2,18.0,"CHO THUÊ PHÒNG TRỌ MỚI XÂY, 18M2, KIỆT TRẦN CAO VÂN, THANH KHÊ","CHO THUÊ PHÒNG TRỌ MỚI XÂY, 18M2, KIỆT TRẦN CAO VÂN, THANH KHÊ K291 Trần Cao Vân, Kiệt thông Lê Độ. Phòng mới 100%, sạch đẹp, thoáng mát. Khu dân cư an ninh văn minh, yên tĩnh và dễ di chuyển ra các tuyến đường lớn. Diện tích: 18m² Phòng mới xây, sáng, sạch, WC riêng từng phòng Tiện ích cơ bản Giờ giấc tự do không chung chủ GIÁ THUÊ: 3tr- 3.5 triệu/tháng (giá theo từng phòng) Liên hệ: 0765 58 38 78",
698650,"Thứ 6, 16:54 12/12/2025",Đà Nẵng,Sơn Trà,2.7,25.0,"GIÁ CHƯA TỪNG CÓ, PHÒNG TRỌ FULL NỘI THẤT CƠ BẢN CÁCH VINCOM 2 PHÚT ĐI XE MÁY","Phòng full tiện nghi: – Máy lạnh, nước nóng, nội thất cơ bản – Bàn bếp riêng đầy đủ – Thang máy tiện lợi – Sân phơi rộng rãi – Camera an ninh toàn toà nhà Giá chỉ 2.700.000đ/tháng/người – Cọc 1 tháng – Điện: 4.000đ/kWh (có đồng hồ riêng) – Nước: 50.000đ/người – Wifi + Thang máy: 70.000đ","Đầy đủ nội thất, Có gác, Có kệ bếp, Có máy lạnh, Có máy giặt, Có tủ lạnh, Có thang máy, Không chung chủ, Giờ giấc tự do, Có bảo vệ 24/24, Có hầm để xe"
698061,"Thứ 6, 09:36 05/12/2025",Đà Nẵng,Ngũ Hành Sơn,5.0,40.0,"Cho thuê phòng mặt tiền của toà nhà căn hộ NYKY APARTMENT, Khu đô thị 1B, Điện Ngọc,Điện Bàn Đông","Cần cho thuê phòng mặt tiền toà nhà căn hộ ở khu vực FPT, Ngũ Hành Sơn. Diện tích : 40 m2, nội thất cơ bản. Tiện ích gần đại học FPT, Đại học Việt Hàn, APU School, đại học Y Dược, ... Phù hợp gia đình trẻ, sinh viên học sinh ở chung ghép, người cần ở và kinh doanh nhỏ. Full nội thất: máy lạnh, bình nóng lạnh, bàn, ghế , tủ giường, khu bếp... Liên hệ: 0935 348 357 c Hoa","Đầy đủ nội thất, Có gác, Có kệ bếp, Có máy lạnh, Có máy giặt, Có tủ lạnh, Có thang máy, Không chung chủ, Giờ giấc tự do, Có bảo vệ 24/24, Có hầm để xe"
